rank,total_deposits,bank_name,latitude,longitude,nearest_competitor_distance_km,branch_density_10km,state,city,log_deposits,log_nearest_distance,density_ratio,lat_lon_interaction,anomaly
1,2601221000000.0,JPMorgan Chase Bank,37.2917504,-122.031897,2.2462710995273527,1,California,Saratoga,28.58700206610619,1.1775069836355707,1300610500000.0,-4550.783043762509,1
2,2071624000000.0,Bank of America,51.5162146,-0.1000942,0.296986554882951,13,England,City of London,28.35935395667764,0.2600435389605692,147973142857.14285,-5.156474287415319,1
3,1419560000000.0,Wells Fargo Bank,40.0364923,-75.1293046,5.908213790220593,9,Pennsylvania,Philadelphia,27.981368080371226,1.932711108013507,141956000000.0,-3007.9138251222544,1
4,1361654000000.0,Citibank,0.421434,9.4290632,843.6622800959208,0,Estuaire Province,Libreville,27.93972125320429,6.7389368789428845,1361654000000.0,3.9737278206288,1
5,523102129000.0,U.S. Bank,47.8162218,-110.6692107,165.99874049446365,0,Montana,Fort Benton,26.983042557284108,5.117986270438995,523102129000.0,-5291.7835252621335,1
6,429504882000.0,PNC Bank,40.3911599,-74.7564792,16.32030788463069,0,New Jersey,Hopewell,26.78589894501392,2.8518796792251786,429504882000.0,-3019.500904928224,1
7,413781000000.0,Truist Bank,39.2614813,-76.6943689,6.194066243733937,3,Maryland,Baltimore,26.7486026853047,1.9732565534231328,103445250000.0,-3011.1345303826515,1
9,388747598000.0,Capital One,33.1519177,-96.8041158,6.012608782043031,2,Texas,Frisco,26.686196121645203,1.9477097833193022,129582532666.66667,-3209.2420800228697,1
10,310780000000.0,The Bank of New York Mellon,51.5125419,-0.1024562,0.0,13,England,City of London,26.462351103308215,0.0,22198571428.57143,-5.27777929541478,1
11,295363367000.0,TD Bank,42.0648588,-71.3298192,0.0,1,Massachusetts,Wrentham,26.411472187847195,0.0,147681683500.0,-3000.4787728775295,1
12,277920000000.0,State Street Bank and Trust Company,43.3179662,-73.8414057,0.0,3,New York,Town of Lake Luzerne,26.350599139442803,0.0,69480000000.0,-3198.6595162730873,1
15,202571778000.0,BMO Bank,51.1304872,-114.0093721,326.2406142138771,0,Alberta,Calgary,26.03436011995136,5.7906957235960554,202571778000.0,-5829.354740839087,1
16,187089000000.0,Morgan Stanley Bank,51.5033714,-0.0222627,4.120790148117609,14,England,London,25.954850276413687,1.633308752948635,12472600000.0,-1.14660410646678,1
17,181419006000.0,Citizens Bank,40.619286,-74.0325034,0.0,29,New York,New York,25.924075143124703,0.0,6047300200.0,-3007.1474289005723,0
