rank,total_deposits,bank_name,latitude,longitude
1,2601221000000.0,JPMorgan Chase Bank,37.2917504,-122.031897
2,2071624000000.0,Bank of America,51.5162146,-0.1000942
3,1419560000000.0,Wells Fargo Bank,40.0364923,-75.1293046
4,1361654000000.0,Citibank,0.421434,9.4290632
5,523102129000.0,U.S. Bank,47.8162218,-110.6692107
6,429504882000.0,PNC Bank,40.3911599,-74.7564792
7,413781000000.0,Truist Bank,39.2614813,-76.6943689
8,407086000000.0,Goldman Sachs Bank USA,,
9,388747598000.0,Capital One,33.1519177,-96.8041158
10,310780000000.0,The Bank of New York Mellon,51.5125419,-0.1024562
11,295363367000.0,TD Bank,42.0648588,-71.3298192
12,277920000000.0,State Street Bank and Trust Company,43.3179662,-73.8414057
13,219880000000.0,"Charles Schwab Bank, SSB",,
14,203572000000.0,Morgan Stanley Private Bank,,
15,202571778000.0,BMO Bank,51.1304872,-114.0093721
16,187089000000.0,Morgan Stanley Bank,51.5033714,-0.0222627
17,181419006000.0,Citizens Bank,40.619286,-74.0325034
18,169558883000.0,The Huntington National Bank,39.0993673,-84.5143981
19,169294179000.0,Manufacturers and Traders Trust Company,,
20,169032000000.0,Fifth Third Bank,39.1677626,-84.4098085
21,160110000000.0,First-Citizens Bank & Trust Company,37.3345869,-121.891095
22,158851165000.0,American Express National Bank,,
23,155773280000.0,KeyBank,42.596346,-73.7066698
24,155287000000.0,Ally Bank,,
25,139393219000.0,HSBC Bank USA,40.7294667,-73.8629501
26,133476663000.0,The Northern Trust Company,,
27,132993000000.0,Regions Bank,33.7869434,-84.3883151
28,114276909000.0,Discover Bank,38.8056603,-75.5844987
29,97879104000.0,UBS Bank USA,33.0239756,-117.0774284
30,97291000000.0,USAA Federal Savings Bank,29.5410483,-98.5754255
31,86092000000.0,Synchrony Bank,,
32,80783937000.0,"Santander Bank, N.A.",,
33,76488039000.0,City National Bank,29.3052694,-94.7933371
34,76011070000.0,"Zions Bancorporation, N.A.",,
35,74441023000.0,Flagstar Bank,40.6006836,-73.9422175
36,69721272000.0,Western Alliance Bank,,
37,65844242000.0,Webster Bank,40.7641366,-73.9163445
38,65207996000.0,First Horizon Bank,25.6815595,-80.3151479
39,63156194000.0,East West Bank,40.7615532,-73.8268418
40,63003000000.0,Comerica Bank,32.7815307,-96.7965044
41,58142921000.0,UMB Bank,38.6251326,-90.1897723
42,54706000000.0,Banco Popular de Puerto Rico,40.587099,-73.9523689
43,53444278000.0,SouthState Bank,33.7739744,-84.3875172
44,51540313000.0,Synovus Bank,30.7844064,-86.5588962
45,50173859000.0,Valley National Bank,40.7421084,-73.6964379
46,48857202000.0,CIBC Bank USA,41.8388212,-87.7051715
47,44735690000.0,Pinnacle Bank,36.0776221,-86.9497436
48,43584351000.0,"STANDARD CHARTERED BANK, PLC",,
49,42861521000.0,Frost Bank,29.7380305,-95.5015798
50,42291904000.0,Umpqua Bank,47.2877727,-122.3138697
51,41333273000.0,Old National Bank,41.9515248,-88.7255998
52,40335728000.0,Cadence Bank,29.7420879,-95.4412621
53,38660790000.0,BOKF,,
54,38155227000.0,First National Bank of Pennsylvania,40.4394921,-80.0009447
55,37925051000.0,Raymond James Bank,,
56,35721000000.0,Barclays Bank Delaware,39.7377889,-75.5579793
57,35229355000.0,Associated Bank,41.9759114,-87.7689214
58,31925666000.0,Bank OZK,34.2891597,-85.1505052
59,30811669000.0,EverBank,25.7513497,-80.2552329
60,29472691000.0,Hancock Whitney Bank,30.2166412,-81.5156123
61,28520672000.0,BankUnited,25.8091025,-80.3265967
62,28325155000.0,TD Bank USA,42.0648588,-71.3298192
63,28320731000.0,Prosperity Bank,29.738022,-95.5079263
64,27706000000.0,Deutsche Bank Trust Company Americas,,
65,27517035000.0,Banc of California,34.0616915,-118.4144964
66,27382942000.0,SoFi Bank,30.5438964,49.1699656
67,26592282000.0,United Bank,38.351157,-81.6378371
68,26559632000.0,Texas Capital Bank,32.7531869,-97.3326426
69,26482475000.0,Fulton Bank,40.7362336,-73.9937306
70,26196760000.0,Commerce Bank,38.6276779,-90.1894157
71,26148420000.0,First National Bank of Omaha,41.2348346,-96.1210023
72,25327000000.0,BNY Mellon,51.5125419,-0.1024562
73,24326470000.0,MidFirst Bank,33.6080501,-112.0647141
74,24241174000.0,United Community Bank,3.1892015,101.7311394
75,23977132000.0,Arvest Bank,39.0690777,-94.5525363
76,23836506000.0,FirstBank,44.3829661,26.1320409
