rank,total_deposits,bank_name,latitude,longitude,nearest_competitor_distance_km,branch_density_10km,state,city
1,2601221000000.0,JPMorgan Chase Bank,37.2917504,-122.031897,2.2462710995273527,1,California,Saratoga
2,2071624000000.0,Bank of America,51.5162146,-0.1000942,0.296986554882951,13,England,City of London
3,1419560000000.0,Wells Fargo Bank,40.0364923,-75.1293046,5.908213790220593,9,Pennsylvania,Philadelphia
4,1361654000000.0,Citibank,0.421434,9.4290632,843.6622800959208,0,Estuaire Province,Libreville
5,523102129000.0,U.S. Bank,47.8162218,-110.6692107,165.99874049446365,0,Montana,Fort Benton
6,429504882000.0,PNC Bank,40.3911599,-74.7564792,16.32030788463069,0,New Jersey,Hopewell
7,413781000000.0,Truist Bank,39.2614813,-76.6943689,6.194066243733937,3,Maryland,Baltimore
9,388747598000.0,Capital One,33.1519177,-96.8041158,6.012608782043031,2,Texas,Frisco
10,310780000000.0,The Bank of New York Mellon,51.5125419,-0.1024562,0.0,13,England,City of London
11,295363367000.0,TD Bank,42.0648588,-71.3298192,0.0,1,Massachusetts,Wrentham
12,277920000000.0,State Street Bank and Trust Company,43.3179662,-73.8414057,0.0,3,New York,Town of Lake Luzerne
15,202571778000.0,BMO Bank,51.1304872,-114.0093721,326.2406142138771,0,Alberta,Calgary
16,187089000000.0,Morgan Stanley Bank,51.5033714,-0.0222627,4.120790148117609,14,England,London
17,181419006000.0,Citizens Bank,40.619286,-74.0325034,0.0,29,New York,New York
18,169558883000.0,The Huntington National Bank,39.0993673,-84.5143981,1.5227230555303344,9,Ohio,Cincinnati
20,169032000000.0,Fifth Third Bank,39.1677626,-84.4098085,4.282112068812919,7,Ohio,Cincinnati
21,160110000000.0,First-Citizens Bank & Trust Company,37.3345869,-121.891095,0.12371360420506973,3,California,San Jose
23,155773280000.0,KeyBank,42.596346,-73.7066698,6.9292683213581885,8,New York,East Greenbush
25,139393219000.0,HSBC Bank USA,40.7294667,-73.8629501,1.5287776511146667,17,New York,New York
27,132993000000.0,Regions Bank,33.7869434,-84.3883151,1.4439712853436382,8,Georgia,Atlanta
28,114276909000.0,Discover Bank,38.8056603,-75.5844987,21.450591505555927,0,Delaware,Greenwood
29,97879104000.0,UBS Bank USA,33.0239756,-117.0774284,22.955602689862776,0,California,San Diego
30,97291000000.0,USAA Federal Savings Bank,29.5410483,-98.5754255,6.072229073438851,3,Texas,San Antonio
33,76488039000.0,City National Bank,29.3052694,-94.7933371,0.0,4,Texas,Galveston
35,74441023000.0,Flagstar Bank,40.6006836,-73.9422175,1.7367791148254053,24,New York,New York
37,65844242000.0,Webster Bank,40.7641366,-73.9163445,0.5819458446741708,35,New York,New York
38,65207996000.0,First Horizon Bank,25.6815595,-80.3151479,1.9709615156964477,3,Florida,Pinecrest
39,63156194000.0,East West Bank,40.7615532,-73.8268418,0.6097531850322606,17,New York,New York
40,63003000000.0,Comerica Bank,32.7815307,-96.7965044,1.540423982139659,3,Texas,Dallas
41,58142921000.0,UMB Bank,38.6251326,-90.1897723,0.2847146729415139,9,Missouri,St. Louis
42,54706000000.0,Banco Popular de Puerto Rico,40.587099,-73.9523689,1.7367791148254053,24,New York,New York
43,53444278000.0,SouthState Bank,33.7739744,-84.3875172,1.329050052182962,2,Georgia,Atlanta
44,51540313000.0,Synovus Bank,30.7844064,-86.5588962,3.600645649100335,1,Florida,Crestview
45,50173859000.0,Valley National Bank,40.7421084,-73.6964379,7.843139365890703,2,New York,Village of New Hyde Park
46,48857202000.0,CIBC Bank USA,41.8388212,-87.7051715,6.0857707709665965,14,Illinois,Chicago
47,44735690000.0,Pinnacle Bank,36.0776221,-86.9497436,0.0,6,Tennessee,Nashville
49,42861521000.0,Frost Bank,29.7380305,-95.5015798,0.6127605860198017,12,Texas,Houston
50,42291904000.0,Umpqua Bank,47.2877727,-122.3138697,10.247266740650291,0,Washington,Federal Way
51,41333273000.0,Old National Bank,41.9515248,-88.7255998,33.588846355146444,0,Illinois,DeKalb
52,40335728000.0,Cadence Bank,29.7420879,-95.4412621,2.22640382259101,12,Texas,Houston
54,38155227000.0,First National Bank of Pennsylvania,40.4394921,-80.0009447,0.0,1,Pennsylvania,Pittsburgh
56,35721000000.0,Barclays Bank Delaware,39.7377889,-75.5579793,1.0894348673728116,2,Delaware,Wilmington
57,35229355000.0,Associated Bank,41.9759114,-87.7689214,1.3285504165876452,17,Illinois,Chicago
58,31925666000.0,Bank OZK,34.2891597,-85.1505052,29.783562402849014,0,Georgia,Rome
59,30811669000.0,EverBank,25.7513497,-80.2552329,3.6107200688699255,8,Florida,Coral Gables
60,29472691000.0,Hancock Whitney Bank,30.2166412,-81.5156123,11.770768208111095,0,Florida,Jacksonville
61,28520672000.0,BankUnited,25.8091025,-80.3265967,0.1518981545014227,5,Florida,Doral
62,28325155000.0,TD Bank USA,42.0648588,-71.3298192,0.0,1,Massachusetts,Wrentham
63,28320731000.0,Prosperity Bank,29.738022,-95.5079263,0.6127605860198017,12,Texas,Houston
